"Physical Time: Physical Time (s)","Inlet1RH Monitor: Surface Average of RH","Inlet1T Monitor: Surface Average of Temperature (C)","RH1 Monitor: Sum of RH","RH10 Monitor: Sum of RH","RH2 Monitor: Sum of RH","RH3 Monitor: Sum of RH","RH4 Monitor: Sum of RH","RH5 Monitor: Sum of RH","RH6 Monitor: Sum of RH","RH7 Monitor: Sum of RH","RH8 Monitor: Sum of RH","RH9 Monitor: Sum of RH","T1 Monitor: Sum of Temperature (C)","T10 Monitor: Sum of Temperature (C)","T2 Monitor: Sum of Temperature (C)","T3 Monitor: Sum of Temperature (C)","T4 Monitor: Sum of Temperature (C)","T5 Monitor: Sum of Temperature (C)","T6 Monitor: Sum of Temperature (C)","T7 Monitor: Sum of Temperature (C)","T8 Monitor: Sum of Temperature (C)","T9 Monitor: Sum of Temperature (C)","velocity Monitor: Surface Average of Velocity: Magnitude (m/s)","wall Monitor: Surface Average of Temperature (C)"
3961800,46.410780698329,25,44.7232418177176,43.7922220518722,42.1866472782713,42.8215678623853,42.1394900313148,41.3430595896483,43.0070307143292,43.7308713428404,40.3990088905003,42.5090202983465,21.6877003220255,23.1789347686274,22.2190554815527,22.1143890427222,22.9828273907785,22.916977546397,22.5612564398191,22.2483604150696,22.009642350407,22.9441481169003,0.2,24.1999999999999
3962400,46.4107807342917,25,45.167870122857,44.6209515884139,44.0437588381601,44.1923794194549,43.4105157021632,42.6558443142652,44.0290521094498,44.3559535204422,42.1242917845466,43.6179677400609,22.9038904478554,23.7695436402563,23.0855972247372,23.0639939234148,23.7993945196351,23.8391331024565,23.506523478919,23.3618119232146,23.1885612975843,23.7132607188752,0.2,24.1999999999999
3963000,46.4107807078505,25,45.5808686147007,45.3073241739754,45.1580019252521,45.3025536511151,44.7091374030138,44.0791049629479,45.0055737924091,45.062606437418,43.4114031753363,44.3867922810261,23.6818332639425,24.1081530812378,23.7897853983336,23.6967605828797,24.1346412094862,24.2126668066628,24.0001710611896,23.9485689832144,23.8927038286416,24.1169587598119,0.2,24.1999999999999
3963600,46.4107806653367,25,45.9538915738195,45.791825203251,45.8386567016472,45.8550749556086,45.5135604401578,45.2154052023935,45.6657422964939,45.6225780807123,44.6719106719144,45.2629862968559,24.1645178584455,24.3296327063084,24.260136758603,24.1769697770167,24.3554850046566,24.3665031330678,24.2983469471575,24.2928438506297,24.2152555437947,24.2872658764849,0.2,24.1999999999999
3964200,46.4107806588832,25,46.1563151529495,46.1479227105571,46.1556100400827,46.1218540416576,46.1197565864374,45.955937271145,46.123740890676,46.0438398825594,45.7116876821888,45.9990668549501,24.458390863413,24.5287074738388,24.489035071381,24.4732553851632,24.4761722698256,24.4631837029153,24.4701913442405,24.5016605188055,24.3542674836376,24.3891769137349,0.2,24.1999999999999
3964800,46.41078064712,25,46.3421015674103,46.3158816075828,46.3803484230438,46.3283088428324,46.5308022658776,46.4437881911768,46.5129913216292,46.3138532619833,46.2972933200124,46.5028358390777,24.6145927581468,24.7038741360766,24.600130452835,24.6154591951347,24.5504825396237,24.5387453731699,24.5532067919264,24.6257963564693,24.4528491220336,24.471051890177,0.2,24.1999999999999
3965400,46.4107806390059,25,46.5144253172167,46.4970757090158,46.598399387774,46.5217598594751,46.7805376961155,46.7596350396633,46.7694481797608,46.4960622618375,46.6736423106645,46.8327141893441,24.6968214591594,24.7635123379664,24.6490430770477,24.6789612924662,24.6073370499613,24.5898450674395,24.609656095904,24.7027482299249,24.5124167868315,24.5335272320139,0.2,24.1999999999999
3966000,46.410780700707,25,46.6483102267462,46.6572569386486,46.7768314280455,46.6882462665996,46.9381678040748,46.971762068908,46.9261513328556,46.6328273042534,46.9419402067134,47.0226089184096,24.7402621794699,24.7749366718692,24.6742713674654,24.7101900078926,24.6448132441907,24.6155480971321,24.6472969743921,24.7480479195148,24.5444640327251,24.5810676922827,0.2,24.1999999999999
3966600,46.4107807358557,25,46.7627784367458,46.7764622915441,46.9053481835065,46.8193303321959,47.0570221272484,47.144741735704,47.0285125093078,46.7412316838253,47.1433508628814,47.1319622210655,24.7567750634174,24.7762548012252,24.6930906750733,24.7260569779239,24.658902665949,24.6163012718902,24.6674936931849,24.7694936299292,24.561226843976,24.6141901369245,0.2,24.1999999999999
3967200,46.4107807157691,25,46.8574281924719,46.8411032522537,46.9738960581881,46.9131290706314,47.1536173745781,47.2621396466285,47.0962681858815,46.8268665800382,47.2781247057644,47.2088308163561,24.7618404485021,24.781658452614,24.7130913879147,24.7355643040092,24.6607934945031,24.6154057117181,24.6803303680704,24.7767874827679,24.5731122201643,24.6307727763243,0.2,24.1999999999999
3967800,46.4107807011198,25,46.9179022676308,46.8837624938346,46.9996594777046,46.9686535781223,47.2048618297534,47.3161096203374,47.1409803710944,46.8929802100071,47.3734869785689,47.2814212962276,24.7667699950653,24.787016517669,24.7341309391869,24.7448380838352,24.6667417078693,24.6230555616218,24.6892495718141,24.7777605422507,24.5791834325928,24.632193913118,0.2,24.1999999999999
